0.3um/m3	0.5um/m3	1.0um/m3	3.0um/m3	5.0um/m3	10.0um/m3
3928409	682280	46615	6357	2119	2119
4095801	661091	40259	4238	0	0
3845773	637784	48734	0	0	0
4239885	699231	55091	0	0	0
4004689	631427	52972	0	0	0
3843654	625070	65685	0	0	0
4057661	673805	23308	4238	0	0
3979262	642022	52972	6357	6357	2119
4127584	650497	50853	6357	2119	0
4083088	675924	46615	8476	6357	4238
4195388	688637	40259	0	0	0
4242004	678043	48734	8476	2119	0
4146654	635665	38140	4238	0	0
4396682	697113	48734	6357	4238	0
4193269	692875	38140	4238	2119	0
3773731	639903	36021	2119	2119	2119
4237766	673805	46615	4238	2119	0
4013164	675924	48734	4238	0	0
4250479	703469	42378	0	0	0
4225053	718301	59329	6357	0	0
4125465	646259	31783	0	0	0
4017402	631427	55091	0	0	0
4364899	781868	46615	6357	2119	0
4290738	745847	65685	6357	4238	0
3841535	656854	50853	2119	0	0
4136060	741609	38140	6357	2119	0
3763136	625070	40259	6357	6357	0
4123346	622952	33902	0	0	0
4229290	747966	67804	6357	2119	0
4116990	665329	59329	10594	6357	4238
3871199	574217	27545	6357	0	0
3943241	673805	44497	10594	2119	0
3979262	658973	50853	6357	4238	0
4231409	714064	31783	4238	4238	2119
3975025	589049	31783	8476	2119	0
3875437	661091	31783	0	0	0
4091563	731015	91112	16951	4238	0
4165724	754322	76280	6357	6357	2119
4059780	639903	46615	0	0	0
3784325	644140	40259	12713	4238	0
3871199	608119	44497	4238	2119	0
3947479	646259	48734	0	0	0
4116990	692875	57210	6357	6357	0
4023759	682280	44497	4238	0	0
4191151	745847	50853	2119	0	0
4407277	769155	48734	4238	2119	0
4477200	737371	59329	4238	0	0
4458130	688637	40259	6357	0	0
3896626	633546	42378	0	0	0
3873318	631427	48734	2119	0	0
3994094	642022	27545	0	0	0
4083088	644140	36021	4238	0	0
4008927	718301	52972	4238	4238	0
4000451	601763	40259	2119	0	0
3949598	597525	42378	0	0	0
4146654	635665	29664	4238	2119	0
4258955	760679	42378	4238	0	0
4373375	705588	48734	6357	2119	2119
4061899	709826	59329	6357	2119	0
4237766	714064	46615	6357	4238	2119
4068255	694994	46615	0	0	0
4131822	652616	36021	4238	0	0
4142416	747966	36021	4238	0	0
4123346	627189	55091	2119	0	0
4280144	699231	63566	10594	4238	0
4123346	675924	46615	4238	2119	0
3972906	614476	44497	2119	2119	0
4210221	697113	61448	2119	0	0
4157248	673805	33902	0	0	0
3958073	663210	40259	2119	2119	2119
3873318	629308	48734	0	0	0
4178437	754322	61448	0	0	0
3985619	622952	40259	2119	0	0
4074612	646259	55091	2119	2119	0
4040710	593287	36021	0	0	0
3953836	608119	23308	0	0	0
3767374	618714	36021	0	0	0
3839416	589049	29664	2119	2119	0
3915696	694994	69923	2119	0	0
3811871	642022	40259	2119	0	0
4025878	665329	36021	8476	4238	0
3939003	678043	69923	6357	0	0
3843654	654735	38140	0	0	0
4136060	735252	46615	2119	0	0
4176318	675924	36021	2119	0	0
3972906	654735	31783	0	0	0
4053423	686518	63566	6357	2119	0
4019521	673805	57210	2119	0	0
3886031	667448	40259	2119	0	0
4157248	735252	61448	0	0	0
4044948	673805	65685	10594	4238	0
3913577	635665	52972	0	0	0
4066136	703469	57210	6357	2119	0
3752542	656854	33902	4238	0	0
4044948	642022	46615	2119	0	0
4057661	671686	31783	4238	0	0
4309808	663210	42378	2119	0	0
4159367	699231	52972	4238	0	0
4157248	631427	36021	2119	2119	0
4174200	648378	38140	0	0	0
4023759	682280	36021	4238	2119	0
3934766	550910	40259	4238	0	0
4008927	701350	38140	2119	2119	0
4477200	720420	69923	2119	0	0
4242004	711945	46615	0	0	0
4142416	684399	46615	4238	2119	0
4051304	599644	42378	0	0	0
3879675	688637	46615	4238	0	0
4023759	697113	48734	2119	0	0
4000451	694994	55091	2119	0	0
4015283	654735	44497	4238	0	0
3873318	673805	36021	0	0	0
4220815	739490	86874	16951	4238	2119
4267430	743728	74161	25427	21189	8476
4314046	733134	114420	38140	21189	12713
4483556	796700	101706	33902	21189	8476
4282263	678043	65685	25427	10594	4238
4407277	758560	101706	25427	12713	6357
4286500	800938	65685	19070	12713	4238
4339472	813651	99588	29664	19070	6357
4297095	663210	76280	21189	19070	6357
4271668	741609	86874	19070	10594	0
4218696	731015	88993	21189	10594	6357
4237766	665329	82636	31783	16951	2119
3894507	639903	74161	12713	6357	2119
4303451	783987	84755	16951	10594	0
3972906	680161	80518	12713	6357	4238
4231409	741609	112301	23308	14832	4238
4008927	743728	93231	14832	6357	2119
4000451	671686	82636	16951	12713	4238
3905101	747966	91112	14832	6357	2119
4023759	709826	74161	16951	8476	4238
3989857	760679	97469	25427	19070	2119
3989857	783987	78399	10594	8476	2119
3896626	675924	80518	19070	8476	6357
3955955	728896	116539	27545	19070	8476
3968668	637784	82636	21189	8476	0
3924171	705588	72042	29664	23308	6357
4174200	709826	65685	23308	8476	4238
4403039	813651	80518	12713	6357	2119
